Date,Month Year,start of year,qtr No,Qtr,Start Of Month
22-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
23-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
24-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
25-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
26-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
27-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
28-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
29-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
30-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
31-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
1-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
2-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
3-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
4-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
5-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
6-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
7-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
8-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
9-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
10-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
11-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
12-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
13-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
14-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
15-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
16-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
17-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
18-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
19-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
20-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
21-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
22-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
23-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
24-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
25-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
26-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
27-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
28-Feb-18,02-18,1/1/2018 0:00,1,Q1,2/1/2018
1-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
2-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
3-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
4-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
5-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
6-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
7-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
8-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
9-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
10-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
11-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
12-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
13-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
14-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
15-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
16-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
17-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
18-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
19-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
20-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
21-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
22-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
23-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
24-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
25-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
26-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
27-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
28-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
29-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
30-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
31-Mar-18,03-18,1/1/2018 0:00,1,Q1,3/1/2018
1-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
2-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
3-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
4-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
5-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
6-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
7-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
8-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
9-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
10-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
11-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
12-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
13-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
14-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
15-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
16-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
17-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
18-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
19-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
20-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
21-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
22-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
23-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
24-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
25-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
26-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
27-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
28-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
29-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
30-Apr-18,04-18,1/1/2018 0:00,2,Q2,4/1/2018
1-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
2-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
3-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
4-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
5-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
6-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
7-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
8-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
9-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
10-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
11-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
12-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
13-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
14-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
15-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
16-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
17-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
18-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
19-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
20-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
21-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
22-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
23-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
24-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
25-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
26-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
27-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
28-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
29-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
30-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
31-May-18,05-18,1/1/2018 0:00,2,Q2,5/1/2018
1-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
2-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
3-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
4-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
5-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
6-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
7-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
8-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
9-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
10-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
11-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
12-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
13-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
14-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
15-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
16-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
17-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
18-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
19-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
20-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
21-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
22-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
23-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
24-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
25-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
26-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
27-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
28-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
29-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
30-Jun-18,06-18,1/1/2018 0:00,2,Q2,6/1/2018
1-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
2-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
3-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
4-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
5-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
6-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
7-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
8-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
9-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
10-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
11-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
12-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
13-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
14-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
15-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
16-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
17-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
18-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
19-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
20-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
21-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
22-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
23-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
24-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
25-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
26-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
27-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
28-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
29-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
30-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
31-Jul-18,07-18,1/1/2018 0:00,3,Q3,7/1/2018
1-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
2-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
3-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
4-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
5-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
6-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
7-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
8-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
9-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
10-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
11-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
12-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
13-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
14-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
15-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
16-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
17-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
18-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
19-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
20-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
21-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
22-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
23-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
24-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
25-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
26-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
27-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
28-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
29-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
30-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
31-Aug-18,08-18,1/1/2018 0:00,3,Q3,8/1/2018
1-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
2-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
3-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
4-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
5-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
6-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
7-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
8-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
9-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
10-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
11-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
12-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
13-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
14-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
15-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
16-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
17-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
18-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
19-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
20-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
21-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
22-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
23-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
24-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
25-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
26-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
27-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
28-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
29-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
30-Sep-18,09-18,1/1/2018 0:00,3,Q3,9/1/2018
